case,T_mean,T_max,T_min,Es_mean,Es_max,Es_min
obs,0.8908247878547149,1.8052263259999999,0.0068844886666666666,0.3529843622031122,1.9007708333333333,0.02825
Ctl,1.0347557067871094,3.0007822513580322,0.008319907821714878,0.5277169346809387,4.957050323486328,4.917383193969727e-07
Lit,1.2342523336410522,3.3984744548797607,0.009931161068379879,0.5486196279525757,1.873319387435913,0.0030659048352390528
Hi-Res,1.020160436630249,3.0383806228637695,0.008210484869778156,0.35231485962867737,1.9348609447479248,0.0008879523375071585
Hc,0.9735817909240723,3.024674892425537,0.008204580284655094,0.29081833362579346,1.9370172023773193,0.000531498109921813
β-hvrd,1.252995491027832,3.585259437561035,0.009884459897875786,0.2754901647567749,1.943264365196228,0.005157775245606899
β-exp,1.0956847667694092,3.075169324874878,0.008981122635304928,0.26140373945236206,1.932342529296875,0.00048275492736138403
