dates,Rainf,Evap,TVeg,ESoil,ECanop,Qs,Qsb,Qrecharge,soil_storage_chg
2013-12-31,866.0,606.04004,436.11127,150.29472,19.634071,0.011721497,3.9001425e-06,99.67283,162.3459200618115
2014-12-31,651.4,584.69946,445.80032,114.28661,24.612522,0.0019873595,4.091299e-06,46.770847,22.872375984986547
2015-12-31,1065.0,641.48083,427.90213,196.04358,17.535126,0.029671215,2.7927661e-05,353.3257,74.08347515265154
2016-12-31,867.8,663.7237,499.9298,146.93799,16.855888,0.02638332,7.941624e-05,315.87677,-108.53624353806163
2017-12-31,664.2,573.53485,425.92654,119.64453,27.963743,0.0085549485,0.00012595081,156.4754,-64.43871814012527
2018-12-31,654.4,509.50302,391.85672,97.53615,20.110153,0.007201976,0.00010531967,7.6428776,138.29309740662575
2019-12-31,354.0,342.58942,224.49599,104.21151,13.881908,0.002305775,8.915676e-05,44.279503,0.0
